Anunciante,Bloco de anúncios,Data,Tamanho do criativo,Total de impressões,Total de cliques,Receita Bruta (R$),Receita Líquida,eCPM,eCPM médio total (R$),Porcentagem do total de impressões visíveis do Active View
CAMPANHA INSTITUCIONAL CARUARU,Interior,21/02/2024,Nativo,8,0,"R$0,00 ","0,0",,"R$0,00 ","12,50%"
CAMPANHA INSTITUCIONAL CARUARU,Interior,21/02/2024,320 x 50,3156,8,"R$0,00 ","0,0",,"R$0,00 ","95,94%"
CAMPANHA INSTITUCIONAL CARUARU,Interior,21/02/2024,728 x 90,1556,4,"R$0,00 ","0,0",,"R$0,00 ","98,84%"
CAMPANHA INSTITUCIONAL CARUARU,Interior,21/02/2024,300 x 250,138,0,"R$0,00 ","0,0",,"R$0,00 ","57,25%"
CAMPANHA INSTITUCIONAL CARUARU,Interior,21/02/2024,320 x 50,5,0,"R$0,00 ","0,0",,"R$0,00 ","75,00%"
CAMPANHA INSTITUCIONAL CARUARU,Interior,21/02/2024,320 x 50,3,0,"R$0,00 ","0,0",,"R$0,00 ","0,00%"
CAMPANHA INSTITUCIONAL CARUARU,Interior,21/02/2024,300 x 600,8,1,"R$0,00 ","0,0",,"R$0,00 ","100,00%"
CAMPANHA INSTITUCIONAL RECIFE,Portal NE10,21/02/2024,300 x 250,26,0,"R$0,00 ","0,0",,"R$0,00 ","38,46%"
CAMPANHA INSTITUCIONAL RECIFE,Portal NE10,21/02/2024,970 x 250,16,0,"R$0,00 ","0,0",,"R$0,00 ","112,50%"
CAMPANHA INSTITUCIONAL RECIFE,Portal NE10,21/02/2024,Nativo,61,0,"R$0,00 ","0,0",,"R$0,00 ","72,13%"
CAMPANHA INSTITUCIONAL RECIFE,Portal NE10,21/02/2024,728 x 90,128,0,"R$0,00 ","0,0",,"R$0,00 ","92,19%"
CAMPANHA INSTITUCIONAL RECIFE,Portal NE10,21/02/2024,970 x 90,119,0,"R$0,00 ","0,0",,"R$0,00 ","96,64%"
CAMPANHA INSTITUCIONAL RECIFE,Portal NE10,21/02/2024,300 x 250,3,0,"R$0,00 ","0,0",,"R$0,00 ","66,67%"
CAMPANHA INSTITUCIONAL RECIFE,Portal NE10,21/02/2024,300 x 250,3523,2,"R$0,00 ","0,0",,"R$0,00 ","62,49%"
CAMPANHA INSTITUCIONAL RECIFE,Portal NE10,21/02/2024,300 x 600,171,0,"R$0,00 ","0,0",,"R$0,00 ","43,27%"
